label,tp,type,hypermut
CAP257_3160_054WPI_ENV_C2C3_NGS_072_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_073_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_074_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_076_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_077_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_078_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_079_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_080_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_081_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_082_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_083_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_085_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_086_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_087_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_088_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_089_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_090_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_091_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_092_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_093_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_094_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_097_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_098_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_099_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_101_0_003_1,054WPI,NGS,N
